Sr. No.,Year,CATEGORY,TITLE,DIRECTOR,PRODUCER,LANGUAGE,AWARDS
210,66th NFA - 2018,FEATURE,ONDALLA ERADALLA,SATYA PRAKASH D,D N CINEMAS,KANNADA,BEST CHILD ARTIST - P V ROHITH NARGIS DUTT AWARD FOR BEST FEATURE FILM ON NATIONAL INTEGRATION
211,66th NFA - 2018,FEATURE,PAANI,ADDINATH KOTHARE,PURPLE PEBBLE PICTURES,MARATHI,BEST FILM ON ENVIRONMENT CONSERVATION/PRESERVATION
212,66th NFA - 2018,FEATURE,PADMAAVAT,SANJAY LEELA BHANSALI,NA,HINDI,BEST MUSIC DIRECTION (SONGS) BEST MALE PLAYBACK SINGER - ARIJIT SINGH SONG “ BINTE DIL MISRIYA MEIN …. ” BEST CHOREOGRAPHY - KRUTI MAHESH MADYA & JYOTI TOMAR (SONG: GHOOMAR)
213,66th NFA - 2018,FEATURE,PADMAN,R. BALKI,HOPE PRODUCTIONS PVT. LTD.,HINDI,BEST FILM ON SOCIAL ISSUES
214,66th NFA - 2018,FEATURE,RANGASTHALAM,NA,NA,TELUGU,BEST AUDIOGRAPHY (RE- RECORDIST OF THE FINAL MIXED TRACK) - RAJA KRISHNAN M.R
215,66th NFA - 2018,FEATURE,REVA,RAHUL SURENDRABHAI BHOLE & VINIT KUMAR AMBUBHAI KANOJIYA,BRAINBOX STUDIOS,GUJARATI,BEST GUJARATI FILM
216,66th NFA - 2018,FEATURE,SARKARI HIRIYA PRATHAMIKA SHALE KASARGODU,RISHAB SHETTY,RISHAB SHETTY FILMS,KANNADA,BEST CHILDREN'S FILM
217,66th NFA - 2018,FEATURE,SUDANI FROM NIGERIA,ZAKARIYA,THE HAPPY HOURS ENTERTAINMENTS,MALAYALAM,BEST MALAYALAM FILM SPECIAL MENTION - SAVITHRI (ACTRESS)
218,66th NFA - 2018,FEATURE,TARIKH,NA,NA,BENGALI,BEST SCREENPLAY (DIALOGUE WRITER) -CHURNI GANGULY
219,66th NFA - 2018,FEATURE,TENDLYA,NA,NA,MARATHI,BEST AUDIOGRAPHY [LOCATION SOUND RECORDIST (FOR SYNC SOUND FILMS ONLY)] -GAURAV VERMA
220,66th NFA - 2018,FEATURE,TURTLE,NA,NA,NA,BEST RAJASTHANI FILM
221,66th NFA - 2018,FEATURE,URI: THE SURGICAL STRIKE,ADITYA DHAR,NA,HINDI,BEST ACTOR (SHARED) - VICKY KAUSHAL BEST DIRECTION BEST AUDIOGRAPHY (SOUND DESIGNER) - BISHWADEEP DIPAK CHATTERJEE BEST MUSIC DIRECTION (BACKGROUND MUSIC) - SHASHWAT SACHDEV
222,66th NFA - 2018,NON - FEATURE,AAI SHAPPATH,GAUTAM VAZE,NA,NA,BEST DIRECTION
223,66th NFA - 2018,NON - FEATURE,AMOLI,JASMINE KAUR ROY & AVINASH ROY,CULTURE MACHINE MEDIA PVT. LTD.,NA,BEST INVESTIGATIVE FILM
224,66th NFA - 2018,NON - FEATURE,BUNKAR: THE LAST OF THE VARANASI WEAVERS,SATYAPRAKASH UPADHYAY,NARRATIVE PICTURES & S APANA SHARMA,NA,BEST ARTS & CULTURE FILM
225,66th NFA - 2018,NON - FEATURE,CHALO JEETE HAIN,MANGESH HADAWALE,SUNDIAL VENTURES PVT. LTD.,NA,BEST FILM ON FAMILY VALUES
226,66th NFA - 2018,NON - FEATURE,CHILDREN OF THE SOIL,NA,NA,NA,BEST AUDIOGRAPHY - RE-RECORDIST (FINAL MIXED TRACK) - BISHWADEEP CHATTERJEE
227,66th NFA - 2018,NON - FEATURE,EKAANT,NA,NA,NA,SPECIAL JURY AWARD - ART DIRECTOR - NEERAJ SINGH
228,66th NFA - 2018,NON - FEATURE,FELUDA_50 YEARS RAYS DETECTIVE,SAGNIK CHATTERJEE,SAGNIK CHATTERJEE,NA,BEST DEBUT NON-FEATURE FILM OF A DIRECTOR
229,66th NFA - 2018,NON - FEATURE,G.D.NAIDU : THE EDISON OF INDIA,RENJITH KUMAR,FILMS DIVISION,NA,BEST SCIENCE & TECHNOLOGY FILM
230,66th NFA - 2018,NON - FEATURE,GLOW WORM IN A JUNGLE,RAMANA DUMPALA,NA,NA,SPECIAL MENTION (DIRECTOR)
231,66th NFA - 2018,NON - FEATURE,JYOTI,NA,NA,NA,BEST MUSIC DIRECTION
232,66th NFA - 2018,NON - FEATURE,KHARVAS,ADITYA SUHAS JAMBHALE,SHREE MAHALASA PRODUCTIONS (PONDA),NA,BEST SHORT FICTION FILM
233,66th NFA - 2018,NON - FEATURE,LADDOO,SAMEER SADHWANI & KISHOR SADHWANI,NA,NA,SPECIAL MENTION (DIRECTOR)
234,66th NFA - 2018,NON - FEATURE,MADHUBANI – THE STATION OF COLOURS,NA,NA,NA,BEST NARRATION/ VOICE OVER - DEEPAK AGNIHOTRI & URVIJA UPADDHYAY
235,66th NFA - 2018,NON - FEATURE,MAHAAN HUTATMA,SAGAR PURANIK,NA,NA,SPECIAL MENTION (DIRECTOR)
236,66th NFA - 2018,NON - FEATURE,REDISCOVERING JAJAM,AVINASH MAURYA & KRITI GUPTA,RACHEL BRACKEN SINGH,NA,BEST PROMOTIONAL FILM
237,66th NFA - 2018,NON - FEATURE,SARALA VIRALA,EREGOWDA,SUJATHA H R,NA,BEST EDUCATIONAL FILM
238,66th NFA - 2018,NON - FEATURE,SON RISE,VIBHA BAKSHI,V2 FILMS & DESIGN PVT. LTD.,NA,"BEST NON-FEATURE FILM, BEST EDITING - HEMANTI SARKAR"
239,66th NFA - 2018,NON - FEATURE,SWIMMING THROUGH THE DARKNESS,SUPRIYO SEN,PERSPECTIVE,NA,BEST FILM ON SPORTS
240,66th NFA - 2018,NON - FEATURE,TAALA TE KUNJEE,SHILPI GULATI,SIMARDEEP SINGH BHATIA,NA,BEST FILM ON SOCIAL ISSUES
241,66th NFA - 2018,NON - FEATURE,THE SECRET LIFE OF FROGS,AJAY BEDI & VIJAY BEDI,BEDI UNIVERSAL,NA,"BEST NON-FEATURE FILM, BEST CINEMATOGRAPHY - AJAY BEDI & VIJAY BEDI, BEST ON-LOCATION SOUND RECORDIST - AJAY BEDI"
242,66th NFA - 2018,NON - FEATURE,THE WORLD'S MOST FAMOUS TIGER,SUBBIAH NALLAMUTHU,NATURAL HISTORY UNIT INDIA,NA,BEST ENVIRONMENT FILM
243,66th NFA - 2018,NON - FEATURE,WHY ME?,HARISH SHAH,NA,NA,SPECIAL JURY AWARD (DIRECTOR)
244,67th NFA - 2019,FEATURE,AKSHI,MANOJ KUMAR,KALAADEGULA STUDIO,KANNADA,BEST KANNADA FILM
245,67th NFA - 2019,FEATURE,ANANDI GOPAL,SAMEER VIDWANS,"ESSEL VISION PRODUCTIONS LTD., FRESHLIME FILMS LLP & NAMAH PICTURES PVT. LTD.",MARATHI,"BEST FILM ON SOCIAL ISSUES, BEST PRODUCTION DESIGN (SUNIL NIGWEKAR & NILESH WAGH)"
246,67th NFA - 2019,FEATURE,ANU RUWAD - THE NEW DAWN,DILIP KUMAR DOLE,OBONORI PICTURES,ASSAMESE,BEST MISHING FILM
247,67th NFA - 2019,FEATURE,ASURAN,VETRI MAARAN,V CREATIONS,TAMIL,"BEST TAMIL FILM, BEST ACTOR (DHANUSH)"
248,67th NFA - 2019,FEATURE,AVANE SRIMANNARAYANA,SACHIN B RAVI,PARAMVAH STUDIOS PUSHKAR FILMS SRI DEVI ENTERTAINERS,KANNADA,BEST ACTION DIRECTION (STUNT CHOREOGRAPHY: VIKRAM MOR)
249,67th NFA - 2019,FEATURE,BAHATTAR HOORAIN,SANJAY PURAN SINGH CHAUHAN,ALIENS PICTURES SAARTHIE ENTERTAINMENT,HINDI,BEST DIRECTION
250,67th NFA - 2019,FEATURE,BARDO,BHIMRAO MUDE,RITU FILMS CUT LLP,MARATHI,"BEST MARATHI FILM, BEST FEMALE PLAYBACK SINGER (SAVANI RAVINDRA SONG “RAAN PETALA”)"
251,67th NFA - 2019,FEATURE,BHONSLE,DEVASHISH MAKHIJA,GOLDEN RATIO FILMS INDIE MUVIZ PTE,HINDI,BEST ACTOR (MANOJ BAJPAYEE)
252,67th NFA - 2019,FEATURE,BHULAN THE MAZE,MANOJ VERMA,SWAPNIL FILM PRODUCTIONS,CHHATTISGARHI,BEST CHHATTISGARHI FILM
253,67th NFA - 2019,FEATURE,BIRIYAANI,SAJIN BABU,UAN FILM HOUSE,MALAYALAM,SPECIAL MENTION (DIRECTOR : SAJIN BABU)
254,67th NFA - 2019,FEATURE,CHHICHHORE,NITESH TIWARI,NADIAWALA GRANDSONS ENTERTAINMENT PVT. LTD. & FOX STAR STUDIOS,HINDI,BEST HINDI FILM
255,67th NFA - 2019,FEATURE,CHHORIYAN CHHORON SE KAM NAHI HOTI,RAJESH AMAR LAL BABBAR,ESSEL VISION PRODUCTIONS LIMITED & SATISH KAUSHIK ENTERTAINMENT,HINDI,BEST HARYANVI FILM
256,67th NFA - 2019,FEATURE,EIGI KONA,BOBBY WAHENGHAM & MAIPAKSANA HAORONGBAM,LUWANG APOKPA MAMIKOL PRODUCTION,MANIPURI,BEST MANIPURI FILM
257,67th NFA - 2019,FEATURE,GUMNAAMI,SRIJIT MUKHERJI,SVF ENTERTAINMENT PVT. LTD.,BENGALI,"BEST BENGALI FILM, BEST SCREENPLAY (ADAPTED):SRIJIT MUKHERJI"
258,67th NFA - 2019,FEATURE,HELEN,MATHUKUTTY XAVIER,BIG BANG ENTERTAINMENTS,MALAYALAM,"INDIRA GANDHI AWARD FOR BEST DEBUT FILM OF A DIRECTOR, BEST MAKE-UP ARTIST (RANJITH)"
259,67th NFA - 2019,FEATURE,IEWDUH,PRADIP KURBAH,SHIVEN ARTS,KHASI,"BEST KHASI FILM, BEST AUDIOGRAPHY [LOCATION SOUND RECORDIST (FOR SYNC SOUND FILMS ONLY) : DEBAJIT GAYAN]"
260,67th NFA - 2019,FEATURE,JALLIKKATTU,LIJO JOSE PELLISSERY,CHEMBOSKY MOTION PICTURES KASARGOD AADMI PICTURES LIJO JOSE PELLISSERY MOVIE HOUSE OPUS PENTA XYZ FILMS,MALAYALAM,BEST CINEMATOGRAPHY (GIREESH GANGADHARAN)
261,67th NFA - 2019,FEATURE,JERSEY,GOWTAM TINNANURI,SITHARA ENTERTAINMENTS,TELEGU,"BEST TELUGU FILM, BEST EDITING (NAVIN NOOLI)"
262,67th NFA - 2019,FEATURE,FIREFLIES - JONAKI PORUA,PRAKASH DEKA,VORTEX FILMS,ASSAMESE,SPECIAL MENTION (ACTOR : BENJAMIN DAIMARY)
263,67th NFA - 2019,FEATURE,JYESHTHOPUTRO (THE ELDER SON),KAUSHIK GANGULY,NIDEAS CREATIONS & PRODUCTIONS SURINDER FILMS,BENGALI,"BEST SCREENPLAY (ORIGINAL): KAUSHIK GANGULY, BEST MUSIC DIRECTION (BACKGROUND MUSIC): PRABUDDHA BANERJEE"
264,67th NFA - 2019,FEATURE,KAAJRO,NITIN BHASKAR,DE GOAN STUDIO,KONKANI,BEST KONKANI FILM
265,67th NFA - 2019,FEATURE,KALIRA ATITA,NILA MADHAB PANDA,ELEEANORA IMAGES PVT. LTD.,ODIA,BEST ODIA FILM
266,67th NFA - 2019,FEATURE,KALLA NOTTAM,RAHUL RIJI NAIR,FIRST PRINT STUDIOS,MALAYALAM,BEST MALAYALAM FILM
267,67th NFA - 2019,FEATURE,KASTOORI,VINOD UTTRESHWAR KAMBLE,INSIGHT FILMS,MARATHI | HINDI,BEST CHILDREN'S FILM
268,67th NFA - 2019,FEATURE,KD(A) KARUPPU DURAI,MADHUMITA SUNDARARAMAN,SAREGAMA INDIA,TAMIL,BEST CHILD ARTIST (NAGA VISHAL)
269,67th NFA - 2019,FEATURE,KENJIRA,MANOJ KANA,NERU FILMS,PANIYA,BEST PANIYA FILM
270,67th NFA - 2019,FEATURE,KESARI,ANURAG SINGH,DHARMA PRODUCTIONS HARI OM ENTERTAINMENT AZURE ENTERTAINMENT CAPE OF GOOD FILMS ZEE STUDIOS,HINDI,BEST MALE PLAYBACK SINGER (B PRAAK FOR SONG “TERI MITTI”)
271,67th NFA - 2019,FEATURE,KOLAAMBI,RAJEEV KUMAR,NIRMALYAM CINEMA,MALAYALAM,BEST LYRICS (PRABHA VARMA FOR SONG “ ARODUM PARAYUKA VAYYA”)
272,67th NFA - 2019,FEATURE,LATA BHAGWAN KARE,NAVEEN DESHABOINA,PARAM JYOTHI FILM CREATIONS,MARATHI,SPECIAL MENTION (ACTRESS : LATA KARE)
273,67th NFA - 2019,FEATURE,MAHARSHI,PAIDIPALLY VAMSHIDHAR RAO,SRI VENKTESWARA CREATIONS ,TELUGU,"AWARD FOR BEST POPULAR FILM PROVIDING WHOLESOME ENTERTAINMENT, BEST CHOREOGRAPHY (RAJU SUNDARAM)"
274,67th NFA - 2019,FEATURE,MANIKARNIKA- THE QUEEN OF JHANSI,"RADHA KRISHNA JAGARLAMUDI, KANGANA RANAUT",KAIROS KONTENT STUDIOS,HINDI,BEST ACTRESS (ACTRESS : KANGANA RANAUT)
275,67th NFA - 2019,FEATURE,MARAKKAR- ARABIKKADALI NTE-SIMHAM,PRIYADARSHAN,AASHIRVAD CINEMAS,MALAYALAM | KANNADA | CHINESE | HINDI | TAMIL | TELUGU | ENGLISH,"BEST FEATURE FILM, BEST COSTUME DESIGNER (SUJITH SUDHAKARAN & V. SAI), BEST SPECIAL EFFECTS (SIDDHARTH PRIYADARSHAN)"
276,67th NFA - 2019,FEATURE,OTHTHA SERUPPU SIZE-7,PARTHIBAN,BIOSCOPE FILM FRAMERS,TAMIL,"BEST AUDIOGRAPHY (RE- RECORDIST OF THE FINAL MIXED TRACK: RESUL POOKUTTY), SPECIAL JURY AWARD (PRODUCER & DIRECTOR: RADHAKRISHNAN PARTHIBAN)"
277,67th NFA - 2019,FEATURE,PANGA,ASHWINY IYER TIWARI,FOX STAR STUDIOS,HINDI,BEST ACTRESS (ACTRESS : KANGANA RANAUT)
278,67th NFA - 2019,FEATURE,PICASSO,ABHIJEET MOHAN WARANG,EVEREST ENTERTAINMENT PLATOON ONE FILMS,MARATHI,SPECIAL MENTION (DIRECTOR : ABHIJEET MOHAN WARANG)
279,67th NFA - 2019,FEATURE,PINGARA,R PREETHAM SHETTY,DMR PRODUCTIONS,TULU,BEST TULU FILM
280,67th NFA - 2019,FEATURE,RABB DA RADIO 2,SHARANDEEP SINGH,VEHLI JANTA FILMS,PUNJABI,BEST PUNJABI FILM
281,67th NFA - 2019,FEATURE,RONUWA - WHO NEVER SURRENDER,CHANDRA MUDOI,BORNALI CREATIVE VISION ENTERTAINMENT,ASSAMESE,BEST ASSAMESE FILM
282,67th NFA - 2019,FEATURE,SALA BUDHAR BADLA,DR. SABYASACHI MOHAPATRA,NEW GENERATION FILMS,ODIA,BEST ODIA FILM
283,67th NFA - 2019,FEATURE,SUPER DELUXE,THIAGARAJAN KUMARARAJA,"EAST WEST DREAM WORKS ENTERTAINMENT, TYLER DURDEN AND KINO FIST",TAMIL,BEST SUPPORTING ACTOR (VIJAYA SETHUPATHI)
284,67th NFA - 2019,FEATURE,TAJMAL ,NIYAZ MUJAWAR,TULINE STUDIOS PVT. LTD.,MARATHI,NARGIS DUTT AWARD FOR BEST FEATURE FILM ON NATIONAL INTEGRATION
285,67th NFA - 2019,FEATURE,THE TASHKENT FILES,VIVEK AGNIHOTRI,"SP CINECORP, AD FILMS",HINDI,"BEST SCREENPLAY (DIALOGUE): VIVEK RANJAN AGNIHOTRI, BEST SUPPORTING ACTRESS (PALLAVI JOSHI)"
286,67th NFA - 2019,FEATURE,TRIJYA,AKSHAY INDIKAR,CHITRAKATHI NIRMITEE BOMBAY BERLIN FILM PRODUCTIONS FIRTA CINEMA,MARATHI,BEST AUDIOGRAPHY (SOUND DESIGNER : MANDAR KAMALAPURKAR)
287,67th NFA - 2019,FEATURE,VISWASAM,SIVA,SATHYA JYOTHI FILMS,TAMIL,BEST MUSIC DIRECTION (SONGS): D. IMMAN
288,67th NFA - 2019,FEATURE,WATER BURIAL,SHANTANU SEN,FARUQUE IFTIKAR LASKAR,ENGLISH,BEST FILM ON ENVIRONMENT CONSERVATION/PRESERVATION
289,67th NFA - 2019,NON - FEATURE,AN ENGINEERED DREAM,HEMANT GABA,HEMANT GABA,HINDI/ GUJARATI,BEST NON- FEATURE FILM
290,67th NFA - 2019,NON - FEATURE,APPLES AND ORANGES,RUKSHANA TABASSUM,LXL IDEAS PRIVATE LIMITED,ENGLISH,BEST EDUCATIONAL FILM
291,67th NFA - 2019,NON - FEATURE,CHARAN- ATVA THE ESSENCE OF BEING A NOMAD,DINAZ KALWACHWALA,FILMS DIVISION,GUJARATI,BEST ETHNOGRAPHIC FILM
292,67th NFA - 2019,NON - FEATURE,CUSTODY,AMBIECKA PANDIT,AMBIECKA PANDIT,"HINDI, ENGLISH, MARATHI",BEST SHORT FICTION FILM
293,67th NFA - 2019,NON - FEATURE,ELEPHANTS DO REMEMBER,"SWATI PANDEY, VIPLOVE RAI BHATIA & MANOHAR SINGH BISHT",FILMS DIVISION,ENGLISH,BEST BIOGRAPHICAL FILM
294,67th NFA - 2019,NON - FEATURE,HOLY RIGHTS,FARHA KHATUN,PRIYANKA PRADEEP MORE,HINDI,BEST FILM ON SOCIAL ISSUES
295,67th NFA - 2019,NON - FEATURE,JAKKAL,VIVEK WAGH,NEON REEL CREATION,MARATHI,BEST INVESTIGATIVE FILM
296,67th NFA - 2019,NON - FEATURE,KHISA,RAJ PRITAM MORE,P P CINE PRODUCTION,MARATHI,BEST DEBUT NON-FEATURE FILM OF A DIRECTOR
297,67th NFA - 2019,NON - FEATURE,KNOCK KNOCK KNOCK,SUDHANSHU SARIA,FOUR LINE FILMS,HINDI/ BENGALI,BEST DIRECTION
298,67th NFA - 2019,NON - FEATURE,KRANTI DARSHI GURUJI - AHEAD OF TIMES,SUDIPTO SEN,LAST MONK FILMS,HINDI,BEST MUSIC DIRECTION (BISHAKHJYOTI)
299,67th NFA - 2019,NON - FEATURE,LADLI,SUDIPTA KUNDU,SUDIPTA KUNDU,HINDI,BEST FILM ON SOCIAL ISSUES
300,67th NFA - 2019,NON - FEATURE,ORU PAATHIRAA SWAPNAM POLE (LIKE A MIDNIGHT DREAM),SHARAN VENUGOPAL,SATYAJIT RAY FILM & TELEVISION INSTITUTE,MALAYALAM,BEST FILM ON FAMILY VALUES
301,67th NFA - 2019,NON - FEATURE,RADHA (MUSICAL),BIMAL PODDAR,FAIRY COWS,OTHER,BEST ANIMATION FILM (ANIMATOR : NITIN KHARKAR) BEST AUDIOGRAPHY [RE-RECORDIST (FINAL MIXED TRACK): ALLWIN REGO & SANJAY MAURYA]
302,67th NFA - 2019,NON - FEATURE,RAHAS (CHHATTISGARH KI RAAS LEELA),SUNIL SHUKLA,SARJANA INFOTAIMENT FOR CENTRE FOR CULTURAL RESOURCES & TRAINING,HINDI,BEST ON - LOCATION SOUND RECORDIST (SAPTARSHI SARKAR)
303,67th NFA - 2019,NON - FEATURE,SHRIKSHETRA - RU - SAHIJATA,ASHUTOSH PATTNAIK,ASHUTOSH PATTNAIK,ODIA,BEST ARTS AND CULTURE FILM
304,67th NFA - 2019,NON - FEATURE,SHUT UP SONA,DEEPTI GUPTA,OMGROWN MUSIC,HINGLISH,BEST EDITING (ARJUN GOURISARIA)
305,67th NFA - 2019,NON - FEATURE,SMALL-SCALE SOCIETIES,VIPIN VIJAY,SERENDIPITY ARTS,NO DIALOGUES,SPECIAL JURY AWARD
306,67th NFA - 2019,NON - FEATURE,SONSI,SAVITA SINGH,NA,HINDI,BEST CINEMATOGRAPHY (SAVITA SINGH)
307,67th NFA - 2019,NON - FEATURE,THE SHOWER,BAUDDHAYAN MUKHERJI,LITTLE LAMB FILMS PVT. LTD.,HINDI,BEST PROMOTIONAL FILM
308,67th NFA - 2019,NON - FEATURE,THE STORK SAVIOURS,AJAY BEDI & VIJAY BEDI,"RAJIV MEHROTRA, PSBT",ENGLISH,BEST ENVIRONMENT FILM
309,67th NFA - 2019,NON - FEATURE,WILD KARNATAKA,"AMOGHAVARSHA JS, KALYAN VARMA, SARATH CHAMPATI & VIJAYA MOHAN RAJ",AMOGHAVARSHA J S,ENGLISH,"BEST EXPLORATION FILM, BEST NARRATION / VOICE OVER (SIR DAVID ATTENBOROUGH)"
